"filename", "language", "PowerShell", "Shell Script", "Markdown", "JavaScript", "YAML", "Batch", "JSON", "Python", "pip requirements", "CSV", "Java Properties", "Docker", "MS SQL", "Java", "JavaScript JSX", "PostCSS", "JSON with Comments", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\.github\workflows\backend-ci.yml", "YAML", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\.github\workflows\frontend-ci.yml", "YAML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\.github\workflows\pull_request_template.md", "Markdown", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\README.md", "Markdown", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 116
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\RUNNING.md", "Markdown", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 114
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\ai-service\README.md", "Markdown", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 43
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\ai-service\data\training_data.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4388
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\ai-service\elasticity_model.py", "Python", 0, 0, 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 215
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\ai-service\elasticity_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 137
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\ai-service\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 78
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\ai-service\model.py", "Python", 0, 0, 0, 0, 0, 0, 0, 404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 465
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\ai-service\models\model_metadata.json", "JSON", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\ai-service\models\reference_data.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4388
"c:\Users\Alwaj\OneDrive\المستندات\GitHub\roomify-hotel-management\ai-service\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
