date,dayOfWeek,month,weekend,roomType,roomTypeId,totalRooms,occupiedRoomNights,confirmedBookings,cancelledBookings,averageRoomPrice,dailyRevenue,dailyExpenses,occupancyRate
2025-01-01,3,1,false,Standard,1,18,1,1,0,309.44,309.44,0.00,5.555555555555555
2025-01-01,3,1,false,Deluxe,2,12,0,0,0,330.00,0.00,0.00,0.0
2025-01-01,3,1,false,Family,3,8,1,1,0,656.75,656.75,0.00,12.5
2025-01-01,3,1,false,Executive,4,5,1,1,0,848.57,848.57,0.00,20.0
2025-01-01,3,1,false,Suite,5,5,1,1,0,1210.98,1210.98,0.00,20.0
2025-01-02,4,1,false,Standard,1,18,1,1,0,359.10,359.10,0.00,5.555555555555555
2025-01-02,4,1,false,Deluxe,2,12,2,2,0,565.80,1131.59,0.00,16.666666666666668
2025-01-02,4,1,false,Family,3,8,2,1,0,693.09,1386.17,0.00,25.0
2025-01-02,4,1,false,Executive,4,5,1,0,0,848.57,848.57,0.00,20.0
2025-01-02,4,1,false,Suite,5,5,1,0,0,1210.98,1210.98,0.00,20.0
2025-01-03,5,1,true,Standard,1,18,0,0,0,220.00,0.00,0.00,0.0
2025-01-03,5,1,true,Deluxe,2,12,2,1,0,594.92,1189.83,0.00,16.666666666666668
2025-01-03,5,1,true,Family,3,8,1,0,0,656.75,656.75,0.00,12.5
2025-01-03,5,1,true,Executive,4,5,2,1,0,974.20,1948.39,0.00,40.0
2025-01-03,5,1,true,Suite,5,5,2,1,0,1435.66,2871.32,0.00,40.0
2025-01-04,6,1,true,Standard,1,18,2,2,0,392.39,784.77,410.25,11.11111111111111
2025-01-04,6,1,true,Deluxe,2,12,1,0,0,622.20,622.20,273.50,8.333333333333334
2025-01-04,6,1,true,Family,3,8,0,0,1,430.00,0.00,182.33,0.0
2025-01-04,6,1,true,Executive,4,5,1,0,0,1099.82,1099.82,113.96,20.0
2025-01-04,6,1,true,Suite,5,5,3,1,0,1476.65,4429.94,113.96,60.0
2025-01-05,7,1,false,Standard,1,18,3,1,0,365.05,1095.16,2410.13,16.666666666666668
2025-01-05,7,1,false,Deluxe,2,12,2,1,0,572.59,1145.18,1606.75,16.666666666666668
2025-01-05,7,1,false,Family,3,8,0,0,1,430.00,0.00,1071.17,0.0
2025-01-05,7,1,false,Executive,4,5,1,0,0,1099.82,1099.82,669.48,20.0
2025-01-05,7,1,false,Suite,5,5,2,0,0,1609.48,3218.96,669.48,40.0
2025-01-06,1,1,false,Standard,1,18,4,1,0,352.54,1410.16,0.00,22.22222222222222
2025-01-06,1,1,false,Deluxe,2,12,2,1,0,517.94,1035.88,0.00,16.666666666666668
2025-01-06,1,1,false,Family,3,8,1,1,0,707.03,707.03,0.00,12.5
2025-01-06,1,1,false,Executive,4,5,0,0,0,540.00,0.00,0.00,0.0
2025-01-06,1,1,false,Suite,5,5,2,0,0,1609.48,3218.96,0.00,40.0
2025-01-07,2,1,false,Standard,1,18,2,1,0,312.14,624.27,0.00,11.11111111111111
2025-01-07,2,1,false,Deluxe,2,12,2,1,0,510.54,1021.07,0.00,16.666666666666668
2025-01-07,2,1,false,Family,3,8,1,1,0,703.54,703.54,0.00,12.5
2025-01-07,2,1,false,Executive,4,5,1,1,0,861.39,861.39,0.00,20.0
2025-01-07,2,1,false,Suite,5,5,1,0,0,1660.34,1660.34,0.00,20.0
2025-01-08,3,1,false,Standard,1,18,2,0,1,312.14,624.27,1093.13,11.11111111111111
2025-01-08,3,1,false,Deluxe,2,12,2,0,0,510.54,1021.07,728.75,16.666666666666668
2025-01-08,3,1,false,Family,3,8,1,0,0,703.54,703.54,485.83,12.5
2025-01-08,3,1,false,Executive,4,5,3,2,0,866.63,2599.88,303.65,60.0
2025-01-08,3,1,false,Suite,5,5,1,1,0,1296.21,1296.21,303.65,20.0
2025-01-09,4,1,false,Standard,1,18,1,0,0,309.27,309.27,0.00,5.555555555555555
2025-01-09,4,1,false,Deluxe,2,12,3,1,0,531.45,1594.36,0.00,25.0
2025-01-09,4,1,false,Family,3,8,1,0,0,703.54,703.54,0.00,12.5
2025-01-09,4,1,false,Executive,4,5,4,2,0,931.30,3725.20,0.00,80.0
2025-01-09,4,1,false,Suite,5,5,1,0,0,1296.21,1296.21,0.00,20.0
2025-01-10,5,1,true,Standard,1,18,1,0,0,309.27,309.27,0.00,5.555555555555555
2025-01-10,5,1,true,Deluxe,2,12,4,1,0,554.09,2216.34,0.00,33.333333333333336
2025-01-10,5,1,true,Family,3,8,1,0,0,703.54,703.54,0.00,12.5
2025-01-10,5,1,true,Executive,4,5,2,0,0,997.37,1994.73,0.00,40.0
2025-01-10,5,1,true,Suite,5,5,0,0,0,760.00,0.00,0.00,0.0
2025-01-11,6,1,true,Standard,1,18,0,0,0,220.00,0.00,2644.13,0.0
2025-01-11,6,1,true,Deluxe,2,12,1,0,0,621.98,621.98,1762.75,8.333333333333334
2025-01-11,6,1,true,Family,3,8,2,1,0,760.85,1521.70,1175.17,25.0
2025-01-11,6,1,true,Executive,4,5,2,0,0,997.37,1994.73,734.48,40.0
2025-01-11,6,1,true,Suite,5,5,0,0,0,760.00,0.00,734.48,0.0
2025-01-12,7,1,false,Standard,1,18,2,2,0,324.26,648.51,0.00,11.11111111111111
2025-01-12,7,1,false,Deluxe,2,12,2,1,0,554.73,1109.45,0.00,16.666666666666668
2025-01-12,7,1,false,Family,3,8,2,1,0,741.28,1482.55,0.00,25.0
2025-01-12,7,1,false,Executive,4,5,1,0,0,979.18,979.18,0.00,20.0
2025-01-12,7,1,false,Suite,5,5,1,1,0,1318.06,1318.06,0.00,20.0
2025-01-13,1,1,false,Standard,1,18,2,0,0,324.26,648.51,0.00,11.11111111111111
2025-01-13,1,1,false,Deluxe,2,12,0,0,0,330.00,0.00,0.00,0.0
2025-01-13,1,1,false,Family,3,8,2,1,0,659.41,1318.82,0.00,25.0
2025-01-13,1,1,false,Executive,4,5,2,1,0,918.93,1837.85,0.00,40.0
2025-01-13,1,1,false,Suite,5,5,2,1,0,1294.22,2588.44,0.00,40.0
2025-01-14,2,1,false,Standard,1,18,2,1,0,322.75,645.49,2019.38,11.11111111111111
2025-01-14,2,1,false,Deluxe,2,12,1,1,0,501.37,501.37,1346.25,8.333333333333334
2025-01-14,2,1,false,Family,3,8,1,0,0,664.39,664.39,897.50,12.5
2025-01-14,2,1,false,Executive,4,5,2,1,0,860.40,1720.79,560.94,40.0
2025-01-14,2,1,false,Suite,5,5,3,1,0,1301.35,3904.05,560.94,60.0
2025-01-15,3,1,false,Standard,1,18,4,2,0,316.33,1265.31,0.00,22.22222222222222
2025-01-15,3,1,false,Deluxe,2,12,1,0,0,501.37,501.37,0.00,8.333333333333334
2025-01-15,3,1,false,Family,3,8,1,0,0,664.39,664.39,0.00,12.5
2025-01-15,3,1,false,Executive,4,5,2,0,0,860.40,1720.79,0.00,40.0
2025-01-15,3,1,false,Suite,5,5,2,0,0,1293.00,2585.99,0.00,40.0
2025-01-16,4,1,false,Standard,1,18,3,0,0,313.54,940.61,0.00,16.666666666666668
2025-01-16,4,1,false,Deluxe,2,12,2,1,0,529.87,1059.73,0.00,16.666666666666668
2025-01-16,4,1,false,Family,3,8,1,0,0,664.39,664.39,0.00,12.5
2025-01-16,4,1,false,Executive,4,5,1,0,0,862.12,862.12,0.00,20.0
2025-01-16,4,1,false,Suite,5,5,4,2,0,1381.27,5525.08,0.00,80.0
2025-01-17,5,1,true,Standard,1,18,3,1,1,336.12,1008.35,0.00,16.666666666666668
2025-01-17,5,1,true,Deluxe,2,12,3,2,0,582.21,1746.64,0.00,25.0
2025-01-17,5,1,true,Family,3,8,2,2,0,816.48,1632.95,0.00,25.0
2025-01-17,5,1,true,Executive,4,5,2,1,0,973.53,1947.05,0.00,40.0
2025-01-17,5,1,true,Suite,5,5,3,0,0,1368.85,4106.54,0.00,60.0
2025-01-18,6,1,true,Standard,1,18,8,5,0,376.03,3008.27,0.00,44.44444444444444
2025-01-18,6,1,true,Deluxe,2,12,2,0,0,594.14,1188.28,0.00,16.666666666666668
2025-01-18,6,1,true,Family,3,8,1,0,0,814.32,814.32,0.00,12.5
2025-01-18,6,1,true,Executive,4,5,3,1,0,994.12,2982.37,0.00,60.0
2025-01-18,6,1,true,Suite,5,5,2,0,0,1418.08,2836.16,0.00,40.0
2025-01-19,7,1,false,Standard,1,18,9,3,0,349.88,3148.90,0.00,50.0
2025-01-19,7,1,false,Deluxe,2,12,2,2,0,491.71,983.41,0.00,16.666666666666668
2025-01-19,7,1,false,Family,3,8,4,3,0,707.63,2830.52,0.00,50.0
2025-01-19,7,1,false,Executive,4,5,2,0,0,1060.13,2120.25,0.00,40.0
2025-01-19,7,1,false,Suite,5,5,2,1,0,1405.54,2811.08,0.00,40.0
2025-01-20,1,1,false,Standard,1,18,8,1,0,355.77,2846.18,1839.75,44.44444444444444
2025-01-20,1,1,false,Deluxe,2,12,3,1,0,484.22,1452.66,1226.50,25.0
