date,dayOfWeek,month,weekend,roomType,roomTypeId,totalRooms,occupiedRoomNights,confirmedBookings,cancelledBookings,averageRoomPrice,dailyRevenue,dailyExpenses,occupancyRate
2024-05-21,2,5,False,Demo Standard,1,3,0,0,0,430.0,0.0,0.0,0.0
2024-05-21,2,5,False,Demo Deluxe,2,2,0,0,0,690.0,0.0,0.0,0.0
2024-05-21,2,5,False,Demo Suite,3,1,0,0,0,980.0,0.0,0.0,0.0
2024-05-21,2,5,False,Standard,4,9,0,0,0,350.0,0.0,0.0,0.0
2024-05-21,2,5,False,Deluxe,5,6,0,0,0,700.0,0.0,0.0,0.0
2024-05-21,2,5,False,Suite,6,3,0,0,0,1400.0,0.0,0.0,0.0
2024-05-22,3,5,False,Demo Standard,1,3,0,0,0,430.0,0.0,0.0,0.0
2024-05-22,3,5,False,Demo Deluxe,2,2,0,0,0,690.0,0.0,0.0,0.0
2024-05-22,3,5,False,Demo Suite,3,1,0,0,0,980.0,0.0,0.0,0.0
2024-05-22,3,5,False,Standard,4,9,0,0,0,350.0,0.0,0.0,0.0
2024-05-22,3,5,False,Deluxe,5,6,0,0,0,700.0,0.0,0.0,0.0
2024-05-22,3,5,False,Suite,6,3,0,0,0,1400.0,0.0,0.0,0.0
2024-05-23,4,5,False,Demo Standard,1,3,0,0,0,430.0,0.0,0.0,0.0
2024-05-23,4,5,False,Demo Deluxe,2,2,0,0,0,690.0,0.0,0.0,0.0
2024-05-23,4,5,False,Demo Suite,3,1,0,0,0,980.0,0.0,0.0,0.0
2024-05-23,4,5,False,Standard,4,9,0,0,0,350.0,0.0,0.0,0.0
2024-05-23,4,5,False,Deluxe,5,6,0,0,1,700.0,0.0,0.0,0.0
2024-05-23,4,5,False,Suite,6,3,0,0,0,1400.0,0.0,0.0,0.0
2024-05-24,5,5,True,Demo Standard,1,3,0,0,0,430.0,0.0,0.0,0.0
2024-05-24,5,5,True,Demo Deluxe,2,2,0,0,0,690.0,0.0,0.0,0.0
2024-05-24,5,5,True,Demo Suite,3,1,0,0,0,980.0,0.0,0.0,0.0
2024-05-24,5,5,True,Standard,4,9,0,0,0,350.0,0.0,0.0,0.0
2024-05-24,5,5,True,Deluxe,5,6,0,0,0,700.0,0.0,0.0,0.0
2024-05-24,5,5,True,Suite,6,3,0,0,0,1400.0,0.0,0.0,0.0
2024-05-25,6,5,True,Demo Standard,1,3,0,0,0,430.0,0.0,0.0,0.0
2024-05-25,6,5,True,Demo Deluxe,2,2,0,0,0,690.0,0.0,0.0,0.0
2024-05-25,6,5,True,Demo Suite,3,1,0,0,0,980.0,0.0,0.0,0.0
2024-05-25,6,5,True,Standard,4,9,1,1,0,402.5,402.5,0.0,11.11111111111111
2024-05-25,6,5,True,Deluxe,5,6,0,0,0,700.0,0.0,0.0,0.0
2024-05-25,6,5,True,Suite,6,3,0,0,0,1400.0,0.0,0.0,0.0
